Timestamp,Condition,Avg Processing FPS,Avg End-to-End Latency (ms),Avg Pose Change (Euclidean Dist),Avg Translation Change (mm),Avg Joint Position Change (mm),Avg Shape Param Variance,Avg Detection/Tracking Rate (%)
2025-05-13 11:26:33,Optimal,28.1308,37.9094,0.22521484,4.7456,8.817664,0.336468,100.0000
2025-05-13 11:27:45,Low Light,20.4117,49.9615,0.3662178,10.5170,17.082907,0.64626247,100.0000
2025-05-13 11:28:39,Partial Occlusion,27.5562,39.4092,0.44283918,14.7675,16.312729,0.45755824,98.4127
2025-05-13 11:30:19,Fast Motion,26.4461,41.5531,1.4723095,36.4185,99.518555,0.5299373,100.0000
2025-05-13 21:34:38,Optimal,14.3880,69.9658,0.4615918,8.5629,24.22833,0.5514856,100.0000
2025-05-13 21:34:55,Static+Moving Occlusion,14.3744,70.0642,0.662048,13.5516,32.619675,0.5027985,98.5507
2025-05-13 21:37:20,Optimal,16.8063,59.9622,0.4113223,8.6096,17.653048,0.6264804,100.0000
2025-05-13 21:37:38,Optimal,16.7216,60.0452,0.4971405,13.2662,24.038593,0.40964842,100.0000
2025-05-13 21:37:41,Optimal,16.7983,59.8320,0.45300618,12.5809,21.316534,0.41926187,100.0000
2025-05-13 21:37:44,Optimal,16.8987,59.8491,0.4535417,11.3854,22.061584,0.42038053,100.0000
